,Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K_9,BB_9,K_BB,H_9,HR_9,WHIP,BABIP,LOB_PCT,FIP
0,콜,Bears,34,12,6,4.012738854,27,27,2,2,0,0,0,157.0,678,152,71,70,11,73,1,8,10,0,114,6.535031847,4.184713376,1.561643836,8.713375796,0.630573248,1.038216561,0.298728814,0.744485294,4.053503185
1,에르난데스,Giants,31,2,0,2.820893515,7,7,1,0,0,0,0,44.2,187,39,19,14,7,11,0,5,1,0,45,9.162895928,2.239819005,4.090909091,7.941176471,1.425339367,2.058823529,0.268907563,0.796460177,3.969230769
2,키퍼,Tigers,33,19,9,3.336084696,32,32,2,0,0,0,0,202.1,823,172,84,75,24,52,2,16,12,0,135,6.011875309,2.315685304,2.596153846,7.659574468,1.068777833,0.999505195,0.248322148,0.755813953,4.179713013
3,이상훈,Twins,31,7,2,1.680933154,52,0,0,0,18,0,0,85.2,343,53,18,16,8,30,9,3,2,0,92,9.718309859,3.169014085,3.066666667,5.598591549,0.845070423,1.725352113,0.214285714,0.909090909,3.317370892
4,만자니오,Twins,38,8,11,4.324444396,31,29,2,0,0,0,1,162.1,735,161,85,78,13,94,2,21,3,2,122,6.773596545,5.219000617,1.29787234,8.938926589,0.721776681,1.116594695,0.305154639,0.740884407,4.476989513
5,패트릭,Lions,31,5,7,5.961038961,21,20,0,0,0,0,0,77.0,344,100,52,51,11,20,0,5,2,0,45,5.25974026,2.337662338,2.25,11.68831169,1.285714286,2.194805195,0.338403042,0.666058394,4.667532468
6,레스,Bears,29,16,8,3.869858248,31,31,1,0,0,0,0,202.1,867,202,97,87,19,69,1,8,5,0,154,6.857991094,3.072736269,2.231884058,8.995546759,0.846115784,1.217219198,0.296596434,0.721077655,3.922414646
7,리오스,Tigers,29,14,5,3.139528098,54,13,3,0,13,0,1,157.2,662,140,59,55,14,44,2,24,5,0,102,5.839694656,2.519083969,2.318181818,8.015267176,0.801526718,0.928753181,0.263598326,0.790870488,3.899745547
8,러핀,Wyverns,30,1,0,2.596158893,9,0,0,0,0,0,0,17.1,66,8,5,5,1,6,0,1,2,0,18,9.473684211,3.157894737,3,4.210526316,0.526315789,2.456140351,0.175,0.735294118,2.907602339
9,임창용,Lions,26,17,6,3.083202532,36,29,0,0,2,0,0,204.1,841,188,82,70,24,34,4,24,2,0,160,7.055365017,1.499265066,4.705882353,8.290053895,1.058304753,0.994610485,0.273789649,0.77212806,3.66055855
10,파라,Eagles,29,3,1,6.0,31,0,0,0,4,0,0,39.0,183,48,29,26,3,15,3,6,2,0,32,7.384615385,3.461538462,2.133333333,11.07692308,0.692307692,1.769230769,0.354330709,0.617283951,3.712820513
11,경헌호,Twins,24,1,1,4.643314922,40,0,0,0,1,0,2,52.1,226,51,30,27,3,21,0,3,2,0,46,7.946257198,3.627639155,2.19047619,8.809980806,0.518234165,1.3243762,0.31372549,0.63559322,3.39193858
12,신철인,Unicorns,25,2,1,4.526943523,40,0,0,0,1,0,5,55.2,245,60,29,28,4,18,0,3,2,2,54,8.804347826,2.934782609,3,9.782608696,0.652173913,2.336956522,0.337349398,0.689655172,3.163768116
13,마일영,Unicorns,21,7,4,4.557556674,30,22,0,0,0,0,0,130.1,583,132,76,66,16,69,1,10,7,0,98,6.779400461,4.773251345,1.420289855,9.131437356,1.106840892,1.168332052,0.297435897,0.715800636,4.883320523
14,이용훈,Wyverns,24,2,3,8.639993408,17,5,0,0,0,0,0,41.2,199,51,41,40,11,20,2,5,2,0,46,10.04854369,4.368932039,2.3,11.1407767,2.402912621,1.45631068,0.341880342,0.577557756,5.894174757
15,이명호,Giants,21,0,0,4.295444677,21,0,0,0,0,0,1,14.2,67,15,7,7,2,9,1,1,1,0,11,6.971830986,5.704225352,1.222222222,9.507042254,1.267605634,1.901408451,0.295454545,0.810810811,5.383098592
16,장재혁,Eagles,26,0,1,3.857139104,20,0,0,0,0,0,1,32.2,148,37,18,14,3,12,2,3,5,0,29,8.105590062,3.354037267,2.416666667,10.34161491,0.838509317,2.670807453,0.336633663,0.711297071,3.727950311
17,조규수,Eagles,20,5,7,5.463327096,28,19,0,0,0,0,0,113.2,502,114,71,69,19,49,0,13,6,0,88,6.996466431,3.895759717,1.795918367,9.06360424,1.510600707,1.360424028,0.285285285,0.702811245,5.125795053
18,이승호,Wyverns,25,6,12,3.154198073,27,19,1,0,0,0,0,142.2,582,120,55,50,18,40,4,5,2,0,144,9.113924051,2.53164557,3.6,7.594936709,1.139240506,1.146272855,0.272,0.78683834,3.664135021
